Category,Difficulty,Duration,Platform,LearningPace,Rating,Subject,URL
AI,Intermediate,11,Udemy,Fast,5,AI&DS,https://example.com/course/1
Data Analytics,Advanced,4,Unacademy,Moderate,2,AI&DS,https://example.com/course/2
AI,Beginner,10,Unacademy,Fast,1,AI&DS,https://example.com/course/3
AI,Advanced,8,Coursera,Slow,2,AI&DS,https://example.com/course/4
NLP,Intermediate,8,Udemy,Moderate,4,AI&DS,https://example.com/course/5
Data Analytics,Intermediate,12,edX,Fast,3,AI&DS,https://example.com/course/6
Data Science,Advanced,9,Udemy,Moderate,1,AI&DS,https://example.com/course/7
Data Science,Advanced,6,Pluralsight,Fast,2,AI&DS,https://example.com/course/8
Data Analytics,Advanced,5,Unacademy,Moderate,1,AI&DS,https://example.com/course/9
Data Science,Beginner,7,edX,Slow,5,AI&DS,https://example.com/course/10
Data Science,Intermediate,3,Pluralsight,Slow,1,AI&DS,https://example.com/course/11
DSA,Advanced,11,Coursera,Fast,3,AI&DS,https://example.com/course/12
NLP,Beginner,6,Pluralsight,Fast,4,AI&DS,https://example.com/course/13
NLP,Intermediate,6,edX,Moderate,2,AI&DS,https://example.com/course/14
Data Analytics,Beginner,6,Udemy,Slow,3,AI&DS,https://example.com/course/15
DSA,Advanced,12,Unacademy,Moderate,4,AI&DS,https://example.com/course/16
AI,Advanced,2,Coursera,Fast,1,AI&DS,https://example.com/course/17
AI,Intermediate,2,Coursera,Moderate,3,AI&DS,https://example.com/course/18
ML,Intermediate,10,Udemy,Slow,2,AI&DS,https://example.com/course/19
DSA,Advanced,9,Unacademy,Moderate,3,AI&DS,https://example.com/course/20
DSA,Intermediate,10,edX,Slow,1,AI&DS,https://example.com/course/21
AI,Advanced,11,edX,Moderate,3,AI&DS,https://example.com/course/22
NLP,Intermediate,3,edX,Moderate,3,AI&DS,https://example.com/course/23
Data Science,Beginner,5,edX,Slow,3,AI&DS,https://example.com/course/24
NLP,Advanced,7,edX,Moderate,2,AI&DS,https://example.com/course/25
Data Analytics,Beginner,3,Pluralsight,Slow,1,AI&DS,https://example.com/course/26
DSA,Advanced,11,Pluralsight,Slow,3,AI&DS,https://example.com/course/27
ML,Advanced,5,edX,Moderate,5,AI&DS,https://example.com/course/28
Data Science,Intermediate,6,Coursera,Fast,2,AI&DS,https://example.com/course/29
AI,Advanced,2,Coursera,Moderate,2,AI&DS,https://example.com/course/30
AI,Beginner,4,Udemy,Moderate,1,AI&DS,https://example.com/course/31
AI,Advanced,7,Unacademy,Moderate,1,AI&DS,https://example.com/course/32
AI,Beginner,8,Unacademy,Slow,4,AI&DS,https://example.com/course/33
Data Science,Advanced,4,Unacademy,Slow,3,AI&DS,https://example.com/course/34
AI,Beginner,1,Udemy,Slow,4,AI&DS,https://example.com/course/35
Data Analytics,Advanced,2,edX,Moderate,2,AI&DS,https://example.com/course/36
DSA,Intermediate,11,Udemy,Slow,3,AI&DS,https://example.com/course/37
Data Science,Intermediate,6,Udemy,Moderate,1,AI&DS,https://example.com/course/38
DSA,Advanced,8,Coursera,Moderate,3,AI&DS,https://example.com/course/39
ML,Advanced,10,Pluralsight,Slow,5,AI&DS,https://example.com/course/40
Data Analytics,Advanced,3,Udemy,Moderate,3,AI&DS,https://example.com/course/41
DSA,Advanced,3,Unacademy,Moderate,3,AI&DS,https://example.com/course/42
Data Analytics,Beginner,6,edX,Fast,5,AI&DS,https://example.com/course/43
NLP,Intermediate,8,Udemy,Slow,1,AI&DS,https://example.com/course/44
Data Science,Intermediate,1,Udemy,Fast,5,AI&DS,https://example.com/course/45
NLP,Beginner,8,Unacademy,Fast,3,AI&DS,https://example.com/course/46
Data Science,Beginner,4,Pluralsight,Slow,4,AI&DS,https://example.com/course/47
DSA,Intermediate,7,Unacademy,Slow,2,AI&DS,https://example.com/course/48
Data Science,Advanced,1,Udemy,Fast,4,AI&DS,https://example.com/course/49
Data Science,Advanced,1,Pluralsight,Fast,4,AI&DS,https://example.com/course/50
ML,Advanced,7,Coursera,Fast,2,AI&DS,https://example.com/course/51
Data Analytics,Advanced,11,edX,Moderate,4,AI&DS,https://example.com/course/52
Data Analytics,Beginner,9,Coursera,Moderate,3,AI&DS,https://example.com/course/53
Data Science,Advanced,8,Coursera,Fast,5,AI&DS,https://example.com/course/54
Data Analytics,Intermediate,5,Udemy,Moderate,3,AI&DS,https://example.com/course/55
NLP,Intermediate,8,edX,Fast,2,AI&DS,https://example.com/course/56
DSA,Beginner,5,Unacademy,Slow,3,AI&DS,https://example.com/course/57
NLP,Beginner,9,Unacademy,Fast,3,AI&DS,https://example.com/course/58
Data Analytics,Advanced,11,Udemy,Fast,2,AI&DS,https://example.com/course/59
Data Science,Advanced,7,Unacademy,Fast,3,AI&DS,https://example.com/course/60
Data Science,Advanced,2,Pluralsight,Slow,2,AI&DS,https://example.com/course/61
Data Analytics,Advanced,1,Udemy,Slow,5,AI&DS,https://example.com/course/62
DSA,Advanced,6,Coursera,Slow,1,AI&DS,https://example.com/course/63
Data Analytics,Intermediate,8,Unacademy,Fast,3,AI&DS,https://example.com/course/64
AI,Beginner,7,edX,Fast,4,AI&DS,https://example.com/course/65
NLP,Advanced,1,edX,Moderate,1,AI&DS,https://example.com/course/66
